"WMLB e WMHT"," "
"Código WMLB","Código WMHT","WMLB EN","WMLB PT","WMHT EN","WMHT PT","Nome do Campo","Tipo do Campo","Contexto","Local de Uso"
"WMLB1","WMHT1","Component type","Tipo de componente gráfico","Component type (historic or realtime)","Tipo de gráfico( histórico ou tempo real)","type","CharField","Choice onde o usuário escolhe o tipo de gráfico","common/models.py (class DashboardComponent)"
"WMLB2","WMHT2","Show tendency","Mostrar tendência","Show current value tendency","Exibir a tendência do valor atual, ou seja, se o valor atual é maior ou menor que o anterior","show_tendency","BooleanField","Campo onde o usuário escolhe se aquela grandeza física mostrará a tendência do valor atual","common/models.py (class Variable)"
"WMLB3","WMHT3","Historical component","Componente gráfico histórico","Graphic component for historical data display in the dashboard","Componente gráfico para exibição dos dados históricos no dashboard","historic_dashboard_component","ForeignKey","Campo onde o usuário escolherá o componente gráfico do tipo histórico","common/models.py (class Variable)"
"WMLB4","WMHT4","Realtime component","Componente gráfico tempo real","Graphic component for realtime data display in the dashboard","Componente gráfico para exibição do dado em tempo real no dashboard","realtime_dashboard_component","ForeignKey","Campo onde o usuário escolherá o componente gráfico do tipo tempo real","common/models.py (class Variable)"
"WMLB5","WMHT5","Current value tendency","Tendência do valor atual","Current value tendency","Tendência do valor atual","trend","FloatField","Campo com a tendência do elemento, se for positivo subindo, se for negativo, descendo","station/models.py (class StationElement)"
"WMLB6","WMHT6","Minimum value date","Data do valor mínimo","Lower historic value of the element","Menor valor histórico do elemento","date_lower_value","DateTimeField","Campo com a data do menor valor histórico do elemento","station/models.py (class StationElement)"
"WMLB7","WMHT7","Maximum value date","Data do valor máximo","Highest historic value of the element","Maior valor histórico do elemento","date_highest_value","DateTimeField","Campo com a data do maior valor histórico do elemento","station/models.py (class StationElement)"
"WMLB8","WMHT8","Wind direction elements","Elementos de direção de vento","Wind direction elements","Elementos de direção de vento","","","Campo com os elementos do tipo 'WIND_DIR' da estação selecionada",""
"WMLB9","WMHT9","Reservoir","Reservatório","Name of the reservoir","Nome do reservatório","","","","hydro/models.py (class PowerPlant, AssuredVolume e ReservoirLevelVoulmeArea) e e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB10","WMHT10","Type of reservoir Component","Tipo de componente","Type of the reservoir component to display information","Tipo de componente de reservatório para mostrar informações","reservoir_component_type","ForeignKey","","hydro/models.py (class ReservoirComponent)"
"WMLB11","WMHT11","Update date","Data de atualização","Date that the component data was was updated.","Data em que os dados dos parâmetros foi atualizada.","","","",""
"WMLB12","WMHT12","Level","Nível","Level of the reservoir to the others values","Valor do nível do reservatório para os outros valores","level","DecimalField","","hydro/models.py (class AssuredVolume e ReservoirLevelVoulmeArea)"
"WMLB13","WMHT13","Opening","Abertura","Value or size of the component opening","Valor da abertura do componente","","","",""
"WMLB14","WMHT14","Discharge","Descarga","Value of the discharge of the reservoir for a specific level and opening","Valor da descarga do reservatório para um valor específico de nível e abertura","","","",""
"WMLB15","WMHT15","Created at","Criado em","Creation date","Data  de criação","created_at","DateTimeField","Data de criação dos modelos de dados","common/models.py (BaseModelW)"
"WMLB16","WMHT16","Style","Estilo","Line style","Estilo da linha","style","Select (HTML)","Estilo da Linha na Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html e map/models.py"
"WMLB17","WMHT17","Color","Cor","Series color","Cor da série","","Colorpicker (HTML)","Cor da Série na Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMLB18","WMHT18","Width","Espessura","Line width","Espessura da linha","","Number (HTML)","Espessura da Linha na Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMLB19","WMHT19","Size","Tamanho","Marker size","Tamanho do marcador","","Number (HTML)","Tamanho do Marcador na Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMLB20","WMHT20","Style","Estilo","Marker style","Estilo do marcador","","Select (HTML)","Estilo do Marcador na Configuração de Gráfico","station/templates/station/content-chart-stations-elements.html"
"WMLB21","WMHT21","Updated at","Atualizado em","Update date","Data de atualização","updated_at","DateTimeField","Data de atualização dos modelos de dados","common/models.py (class BaseModel)"
"WMLB22","WMHT22","Tag","Marcador","Model's tag","Marcador do modelo","tag","CharField","Marcador do modelo","common/models.py (class TaggedModel) e common/content-management-new-element.html"
"WMLB23","WMHT23","Name","Nome","Instance's name","Nome da instância","name","CharField","Nome da instância","common/models.py (class TaggedModel e Country) e hydro/models.py (class ReservoirDischargeType e ReservoirComponent)"
"WMLB24","WMHT24","Title","Título","","","title","TextField","","common/models.py (class Document, SVG e Image)"
"WMLB25","WMHT25","Description","Descrição","","","description","TextField","","common/models.py (class DashboardComponent e DataSource e WMOTable e WMOCode) e hydro/models.py (class ReservoirDischargeType)"
"WMLB26","WMHT26","Image","Imagem","","","image_string","TextField","Texto da imagem","common/models.py (class Image)"
"WMLB27","WMHT27","Icon","Ícone","","","icon","OneToOneField","Texto para ícone - tela de variável ícone","common/models.py (class DashboardComponent e Variable)"
"WMLB28","WMHT28","Symbol","Símbolo","","","symbol","CharField","","common/models.py (class Unit e WMOTable e TimeResolution e DataType)"
"WMLB29","WMHT29","Display color","Cor de exibição","","","display_color","ColorField","","common/models.py (class Variable)"
"WMLB30","WMHT30","WMO Code","Código WMO","World Meteorological Organization (WMO) Code for the station","Código da Organização Mundial de Meteorologia (World Meteorological Organization - WMO) para a estação","code","CharField","","common/models.py (class WMOTable e WMOCode)"
"WMLB31","WMHT31","Order","Ordem","","","order","PositiveIntegerField","Campo para ordenação","common/models.py (class Timescale e QualityFlag)"
"WMLB32","WMHT32","Variable","Variável","","","variable","ForeignKey","Variável do elemento","common/models.py (class Element) e common/content-management-new-element.html"
"WMLB33","WMHT33","Short name","Nome curto","","","short_name","CharField","","common/models.py (class Element e Country)"
"WMLB34","WMHT34","Time reference","Referência temporal","","","time_reference","TimeField","","common/models.py (class Element)"
"WMLB35","WMHT35","Timescale","Escala de tempo","Timescale of this element","Escala temporal deste elemento","timescale","ManyToManyField","","common/models.py (class Element e Summary)"
"WMLB36","WMHT36","Derived type","Tipo derivado","","","derived_type","CharField","","common/models.py (class Element)"
"WMLB37","WMHT37","Unit","Unidade de medida","","","unit","ForeignKey","","common/models.py (class NumericElement)"
"WMLB38","WMHT38","Operation","Operação","","","operation","ForeignKey","","common/models.py (class NumericElement)"
"WMLB39","WMHT39","Allow negative","Permitir valor negativo","","","allow_negative","BooleanField","Permite valores negativos","common/models.py (class NumericElement)"
"WMLB40","WMHT40","Position or height","Posição ou altura","","","position","FloatField","","common/models.py (class NumericElement)"
"WMLB41","WMHT41","Include (high value)","Contém (máximo)","","","include_plausible_high","BooleanField","","common/models.py (class NumericElement)"
"WMLB42","WMHT42","Include (ow alue)","Contém (mínimo","","","include_plausible_low","BooleanField","","common/models.py (class NumericElement)"
"WMLB43","WMHT43","Lowest value plausible","Menor valor plausível","","","plausible_low","IntegerField","Menor valor inteiro plausível","common/models.py (class IntegerElement)"
"WMLB44","WMHT44","Highest value plausible","Maior valor plausível","","","plausible_high","IntegerField","Maior valor inteiro plausível","common/models.py (class IntegerElement)"
"WMLB45","WMHT45","Lowest value plausible","Menor valor plausível","","","plausible_low","FloatField","Menor valor real plausível","common/models.py (class FloatElement)"
"WMLB46","WMHT46","Highest value plausible","Maior valor plausível","","","plausible_high","FloatField","Maior valor real plausível","common/models.py (class FloatElement)"
"WMLB47","WMHT47","Decimal digits","Casas decimais","","","decimal_digits","PositiveIntegerField","","common/models.py (class FloatElement) e station/models.py"
"WMLB48","WMHT48","Limit for presentation","Limite para apresentação","","","char_limit","PositiveIntegerField","","common/models.py (class AlphanumericElement)"
"WMLB49","WMHT49","Acronym","Acrônimo","","","acronym","CharField","","common/models.py (class Organization)"
"WMLB50","WMHT50","Website","Website","","","website","URLField","","common/models.py (class Organization)"
"WMLB51","WMHT51","Logo","Logo","","","logo","OneToOneField","","common/models.py (class Organization)"
"WMLB52","WMHT52","Is owner","É dono","Is it the owner institution?","É instituição proprietária do sistema?","is_owner","BooleanField","Diz se é instituição dona do sistema","common/models.py (class Organization)"
"WMLB53","WMHT53","Seconds","Segundos","","","seconds","PositiveIntegerField","","common/models.py (class TimeResolution)"
"WMLB54","WMHT54","Formula","Fórmula","","","formula","CharField","","common/models.py (class UnitConversion)"
"WMLB55","WMHT55","Organization","Insituição","Institution or weather organization","Instituição ou organização de meteorologia","organization/institution","ForeignKey","","common/models.py (class UserExtend e DataFeed) e hydro/models.py (class PowerPlant)"
"WMLB56","WMHT56","Station filter","Filtro de estações","","","station_filter","ForeignKey","","common/models.py (class UserExtend)"
"WMLB57","WMHT57","Mobile phone","Celular","","","mobile_phone","CharField","","common/models.py (class UserExtend)"
"WMLB58","WMHT58","Phone number","Telefone Fixo","","","work_phone","CharField","","common/models.py (class UserExtend)"
"WMLB59","WMHT59","Title","Cargo","","","title","CharField","","common/models.py (class UserExtend)"
"WMLB60","WMHT60","Login count","Total de logins","","","login_count","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB61","WMHT61","Segunda-feira","Monday","","","login_mon","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB62","WMHT62","Terça-feira","Tuesday","","","login_tue","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB63","WMHT63","Quarta-feira","Wednesday","","","login_wed","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB64","WMHT64","Quinte-feira","Thursday","","","login_thu","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB65","WMHT65","Sexta-feira","Friday","","","login_fri","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB66","WMHT66","Sábado","Saturday","","","login_sat","PositiveIntegerField","","common/models.py (class UserExtend)"
